"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksbanut  ","P",02/03/2015 13:59,0,1,1         ,1         ,"",0.0050,<1> (CSM) ,0.07,<0>  ,0.034,<0>  ,0.504,<0>  ,0.538,<0>  ,"",
"lksbanut  ","P",02/03/2015 13:59,0,1,1         ,2         ,"",0.0040,<1> (CSM) ,0.069,<0>  ,0.034,<0>  ,0.5,<0>  ,0.534,<0>  ,"",
"lksbanut  ","P",04/27/2015 10:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.108,<1> (CSM) ,0.0090,<0>  ,0.322,<0>  ,0.331,<0>  ,"",
"lksbanut  ","P",04/27/2015 12:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.104,<1> (CSM) ,0.01,<0>  ,0.323,<0>  ,0.333,<0>  ,"",
"lksbanut  ","P",04/27/2015 14:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.11,<1> (CSM) ,0.0090,<0>  ,0.298,<0>  ,0.307,<0>  ,"",
"lksbanut  ","P",04/27/2015 16:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.092,<1> (CSM) ,0.01,<0>  ,0.294,<0>  ,0.304,<0>  ,"",
"lksbanut  ","P",04/27/2015 18:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.078,<1> (CSM) ,0.01,<0>  ,0.285,<0>  ,0.295,<0>  ,"",
"lksbanut  ","P",04/27/2015 20:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.094,<1> (CSM) ,0.0090,<0>  ,0.291,<0>  ,0.3,<0>  ,"",
"lksbanut  ","P",04/27/2015 22:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.096,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.292,<0>  ,"",
"lksbanut  ","P",04/28/2015 0:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.091,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.292,<0>  ,"",
"lksbanut  ","P",04/28/2015 2:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.089,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.289,<0>  ,"",
"lksbanut  ","P",04/28/2015 4:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.088,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.29,<0>  ,"",
