"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksbanut  ","P",04/22/2019 16:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.047,<-3> (CSM) ,0.0080,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,7.75,<0>  ,
"lksbanut  ","P",04/22/2019 18:00,0,1,2         ,1         ,"",0.0020,<1> (CHB) ,0.052,<-3> (CSM) ,0.0080,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,7.92,<0>  ,
"lksbanut  ","P",04/22/2019 20:00,0,1,2         ,1         ,"",0.0030,<1> (CHB) ,0.052,<-3> (CSM) ,0.045,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,7.21,<0>  ,
"lksbanut  ","P",04/22/2019 22:00,0,1,2         ,1         ,"",0.0020,<1> (CHB) ,0.052,<-3> (CSM) ,0.011,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,6.99,<0>  ,
"lksbanut  ","P",04/23/2019 0:00,0,1,2         ,1         ,"",0.0030,<1> (CHB) ,0.049,<-3> (CSM) ,0.0080,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,1.34,<0>  ,
"lksbanut  ","P",04/23/2019 2:00,0,1,2         ,1         ,"",0.0030,<1> (CHB) ,0.044,<-3> (CSM) ,0.01,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,3.35,<0>  ,
"lksbanut  ","P",04/23/2019 4:00,0,1,2         ,1         ,"",0.0020,<1> (CHB) ,0.053,<-3> (CSM) ,0.0070,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,3.91,<0>  ,
"lksbanut  ","P",04/23/2019 6:00,0,1,2         ,1         ,"",0.0020,<1> (CHB) ,0.052,<-3> (CSM) ,0.01,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,8.35,<0>  ,
"lksbanut  ","P",04/23/2019 7:54,0,1,1         ,1         ,"",0.0020,<1> (CHB) ,0.022,<-3> (CSM) ,0.01,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,8.08,<0>  ,
"lksbanut  ","P",04/23/2019 7:55,0,1,1         ,2         ,"",0.0030,<1> (CHB) ,0.017,<-3> (CSM) ,0.0090,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,7.81,<0>  ,
"lksbanut  ","P",04/23/2019 8:00,0,1,2         ,1         ,"",0.0030,<1> (CHB) ,0.052,<-3> (CSM) ,0.01,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,3.61,<0>  ,
"lksbanut  ","P",04/23/2019 10:00,0,1,2         ,1         ,"",0.0040,<1> (CHB) ,0.043,<-3> (CSM) ,0.026,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,3.67,<0>  ,
"lksbanut  ","P",04/23/2019 12:00,0,1,2         ,1         ,"",0.0020,<1> (CHB) ,0.017,<-3> (CSM) ,0.0080,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,4.79,<0>  ,
"lksbanut  ","P",04/23/2019 14:00,0,1,2         ,1         ,"",0.0020,<1> (CHB) ,0.016,<-3> (CSM) ,0.0070,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,4.44,<0>  ,
"lksbanut  ","P",05/28/2019 11:15,0,1,1         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0030,<1> [SBL] (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,7.03,<0>  ,
"lksbanut  ","P",05/28/2019 11:16,0,1,1         ,2         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0060,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,7.87,<0>  ,
"lksbanut  ","P",05/29/2019 10:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0050,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,8.52,<0>  ,
"lksbanut  ","P",05/29/2019 12:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0050,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,9.21,<0>  ,
"lksbanut  ","P",05/29/2019 14:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0050,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,9.0,<0>  ,
"lksbanut  ","P",05/29/2019 16:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0050,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,10.87,<0>  ,
"lksbanut  ","P",05/29/2019 18:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0060,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,11.44,<0>  ,
"lksbanut  ","P",05/29/2019 20:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0050,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,11.63,<0>  ,
"lksbanut  ","P",05/29/2019 22:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0060,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,11.3,<0>  ,
"lksbanut  ","P",05/30/2019 0:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.018,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,12.37,<0>  ,
"lksbanut  ","P",05/30/2019 2:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0050,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,11.2,<0>  ,
"lksbanut  ","P",05/30/2019 4:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0090,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,10.59,<0>  ,
"lksbanut  ","P",05/30/2019 6:00,0,1,2         ,1         ,"",0.0020,<1> [SBL] (CHB) ,0.0020,<-3> [SBL] (CSM) ,0.0050,<1> (CHB) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,10.48,<0>  ,
