"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksblnut  ","P",02/03/2015 13:15,0,1,1         ,1         ,"",0.0040,<1> (CSM) ,0.172,<0>  ,0.037,<0>  ,0.396,<0>  ,0.433,<0>  ,"",
"lksblnut  ","P",02/03/2015 13:17,0,1,1         ,2         ,"",0.0040,<1> (CSM) ,0.184,<0>  ,0.034,<0>  ,0.406,<0>  ,0.44,<0>  ,"",
"lksblnut  ","P",04/28/2015 23:26,0,1,1         ,1         ,"",6.5E-4,<-4> [SBL] ,0.16,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.205,<0>  ,"",
"lksblnut  ","P",04/28/2015 23:28,0,1,1         ,2         ,"",6.5E-4,<-4> [SBL] ,0.149,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.202,<0>  ,"",
"lksblnut  ","P",05/26/2015 10:52,0,1,1         ,1         ,"",0.0081,<1> (CSM) ,0.056,<1> (CSM) ,0.013,<1> (CSM) ,0.157,<0>  ,0.17,<1> (CSM) ,"",
"lksblnut  ","P",05/26/2015 10:54,0,1,1         ,2         ,"",0.0076,<1> (CSM) ,0.054,<1> (CSM) ,0.011,<1> (CSM) ,0.157,<0>  ,0.168,<1> (CSM) ,"",
"lksblnut  ","P",06/23/2015 10:54,0,1,1         ,1         ,"",0.013,<0>  ,0.339,<0>  ,0.012,<0>  ,0.229,<0>  ,0.241,<0>  ,"",
"lksblnut  ","P",06/23/2015 10:54,0,1,1         ,2         ,"",0.0127,<0>  ,0.34,<0>  ,0.012,<0>  ,0.227,<0>  ,0.239,<0>  ,"",
"lksblnut  ","P",07/21/2015 11:08,0,1,1         ,1         ,"",0.0107,<0>  ,0.148,<1> (CSM) ,0.012,<1> (CSM) ,0.298,<0>  ,0.31,<0>  ,"",
"lksblnut  ","P",07/21/2015 11:09,0,1,1         ,2         ,"",0.0097,<0>  ,0.147,<1> (CSM) ,0.012,<1> (CSM) ,0.301,<0>  ,0.313,<0>  ,"",
"lksblnut  ","P",08/26/2015 10:20,0,1,1         ,1         ,"",0.0069,<0>  ,0.107,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.289,<0>  ,"",
"lksblnut  ","P",08/26/2015 10:22,0,1,1         ,2         ,"",0.0064,<0>  ,0.111,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.283,<0>  ,"",
"lksblnut  ","P",09/24/2015 11:30,0,1,1         ,1         ,"",0.0177,<0>  ,0.199,<0>  ,0.019,<1> (CSM) ,0.215,<0>  ,0.234,<0>  ,"",
"lksblnut  ","P",09/24/2015 11:31,0,1,1         ,2         ,"",0.0166,<0>  ,0.194,<0>  ,0.019,<1> (CSM) ,0.205,<0>  ,0.224,<0>  ,"",
"lksblnut  ","P",10/20/2015 10:56,0,1,1         ,1         ,"",0.021,<0>  ,0.182,<0>  ,0.032,<1> (CSM) ,0.269,<0>  ,0.301,<1> (CSM) ,"",
"lksblnut  ","P",10/20/2015 10:58,0,1,1         ,2         ,"",0.0207,<0>  ,0.185,<0>  ,0.031,<1> (CSM) ,0.249,<0>  ,0.28,<1> (CSM) ,"",
"lksblnut  ","P",11/17/2015 10:32,0,1,1         ,1         ,"",0.025,<0>  ,0.126,<0>  ,0.016,<1> (CSM) ,0.109,<0>  ,0.125,<1> (CSM) ,"",
"lksblnut  ","P",11/17/2015 10:34,0,1,1         ,2         ,"",0.0255,<0>  ,0.131,<0>  ,0.018,<1> (CSM) ,0.108,<0>  ,0.126,<1> (CSM) ,"",

