"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksblnut  ","P",02/28/2018 10:38,1,1,1         ,1         ,"{CIP}",0.0070,<-4> [SBL] ,0.122,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.398,<1> (CHB) ,0.8,<0>  ,
"lksblnut  ","P",02/28/2018 10:39,1,1,1         ,2         ,"{CIP}",0.0070,<-4> [SBL] ,0.123,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.398,<1> (CHB) ,1.0,<0>  ,
"lksblnut  ","P",05/22/2018 13:10,1,1,1         ,1         ,"",0.0070,<0>  ,0.084,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.17,<1> (CHB) ,7.6,<0>  ,
"lksblnut  ","P",05/22/2018 13:11,1,1,1         ,2         ,"",0.0070,<-4> [SBL] ,0.093,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.173,<1> (CHB) ,7.0,<0>  ,
"lksblnut  ","P",06/21/2018 10:28,1,1,1         ,1         ,"",0.013,<1> (CHB) ,0.037,<1> (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.136,<0>  ,0.7,<0>  ,
"lksblnut  ","P",06/21/2018 10:29,1,1,1         ,2         ,"",0.012,<1> (CHB) ,0.031,<1> (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.128,<0>  ,0.3,<0>  ,
"lksblnut  ","P",07/24/2018 9:40,1,1,1         ,1         ,"",0.013,<0>  ,0.064,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.185,<1> [GQS] (CHB) ,4.6,<0>  ,
"lksblnut  ","P",07/24/2018 9:43,1,1,1         ,2         ,"",0.013,<0>  ,0.059,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.17,<1> [GQS] (CHB) ,7.3,<0>  ,
"lksblnut  ","P",08/22/2018 9:55,1,1,1         ,1         ,"",0.02,<1> (CHB) ,0.214,<1> (CHB) ,0.06,<0>  ,0.23,<1> (CHB) ,0.29,<1> (CHB) ,4.7,<0>  ,
"lksblnut  ","P",08/22/2018 9:57,1,1,1         ,2         ,"",0.019,<1> (CHB) ,0.193,<1> (CHB) ,0.054,<0>  ,0.231,<1> (CHB) ,0.285,<1> (CHB) ,3.4,<0>  ,
"lksblnut  ","P",09/25/2018 11:05,1,1,1         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,3.6,<0>  ,
"lksblnut  ","P",09/25/2018 11:07,1,1,1         ,2         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,3.2,<0>  ,
"lksblnut  ","P",10/30/2018 9:00,1,1,1         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,0.9,<0>  ,
"lksblnut  ","P",10/30/2018 9:03,1,1,1         ,2         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,8.3,<0>  ,

