"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksolnut  ","P",02/03/2015 12:30,0,1,1         ,1         ,"",0.0070,<1> (CSM) ,0.097,<0>  ,0.036,<0>  ,0.357,<0>  ,0.393,<0>  ,"",
"lksolnut  ","P",02/03/2015 12:32,0,1,1         ,2         ,"",0.0070,<1> (CSM) ,0.069,<0>  ,0.04,<0>  ,0.34,<0>  ,0.38,<0>  ,"",
"lksolnut  ","P",04/28/2015 9:44,0,1,1         ,1         ,"",6.5E-4,<-4> [SBL] ,0.031,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.048,<0>  ,"",
"lksolnut  ","P",04/28/2015 9:47,0,1,1         ,2         ,"",6.5E-4,<-4> [SBL] ,0.018,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.051,<0>  ,"",
"lksolnut  ","P",05/26/2015 9:16,0,1,1         ,1         ,"",0.0091,<1> (CSM) ,0.03,<1> (CSM) ,0.011,<1> (CSM) ,0.113,<0>  ,0.124,<1> (CSM) ,"",
"lksolnut  ","P",05/26/2015 9:18,0,1,1         ,2         ,"",0.0082,<1> (CSM) ,0.027,<1> (CSM) ,0.012,<1> (CSM) ,0.111,<0>  ,0.123,<1> (CSM) ,"",
"lksolnut  ","P",06/23/2015 9:03,0,1,1         ,1         ,"",0.0071,<0>  ,0.034,<0>  ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.117,<0>  ,"",
"lksolnut  ","P",06/23/2015 9:05,0,1,1         ,2         ,"",0.0069,<0>  ,0.038,<0>  ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.118,<0>  ,"",
"lksolnut  ","P",07/21/2015 9:19,0,1,1         ,1         ,"",0.0064,<0>  ,0.01,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.032,<1> (CSM) ,"",
"lksolnut  ","P",07/21/2015 9:20,0,1,1         ,2         ,"",0.0063,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.053,<1> (CSM) ,"",
"lksolnut  ","P",08/26/2015 8:53,0,1,1         ,1         ,"",0.0082,<0>  ,0.015,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.018,<0>  ,"",
"lksolnut  ","P",08/26/2015 8:55,0,1,1         ,2         ,"",0.0081,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.018,<0>  ,"",
"lksolnut  ","P",09/24/2015 10:08,0,1,1         ,1         ,"",0.0145,<0>  ,0.05,<0>  ,0.012,<1> (CSM) ,0.142,<0>  ,0.154,<0>  ,"",
"lksolnut  ","P",09/24/2015 10:10,0,1,1         ,2         ,"",0.0144,<0>  ,0.043,<0>  ,0.012,<1> (CSM) ,0.138,<0>  ,0.15,<0>  ,"",
"lksolnut  ","P",10/20/2015 8:55,0,1,1         ,1         ,"",0.0144,<0>  ,0.043,<0>  ,0.017,<1> (CSM) ,0.158,<0>  ,0.175,<1> (CSM) ,"",
"lksolnut  ","P",10/20/2015 8:57,0,1,1         ,2         ,"",0.0145,<0>  ,0.042,<0>  ,0.016,<1> (CSM) ,0.153,<0>  ,0.169,<1> (CSM) ,"",
"lksolnut  ","P",11/17/2015 8:56,0,1,1         ,1         ,"",0.0213,<0>  ,0.038,<0>  ,0.016,<1> (CSM) ,0.094,<0>  ,0.11,<1> (CSM) ,"",
"lksolnut  ","P",11/17/2015 8:58,0,1,1         ,2         ,"",0.0216,<0>  ,0.032,<0>  ,0.014,<1> (CSM) ,0.097,<0>  ,0.111,<1> (CSM) ,"",

