"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksolnut  ","P",05/07/2021 12:05,0,1,1         ,1         ,"",0.0040,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.094,<0>  ,4.0,<0>  ,
"lksolnut  ","P",05/07/2021 12:07,0,1,1         ,2         ,"",0.0050,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.1,<0>  ,4.3,<0>  ,
"lksolnut  ","P",06/08/2021 9:25,0,1,1         ,1         ,"",0.03,<0>  ,0.013,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.011,<0>  ,15.4,<0>  ,
"lksolnut  ","P",06/08/2021 9:26,0,1,1         ,2         ,"",0.12,<0>  ,0.012,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.012,<0>  ,8.1,<0>  ,
"lksolnut  ","P",07/13/2021 10:20,0,1,1         ,1         ,"",0.03,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,12.1,<0>  ,
"lksolnut  ","P",07/13/2021 10:25,0,1,1         ,2         ,"",0.02,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,8.7,<0>  ,
"lksolnut  ","P",08/13/2021 9:00,0,1,1         ,1         ,"",0.05,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,6.4,<0>  ,
"lksolnut  ","P",08/13/2021 9:02,0,1,1         ,2         ,"",0.05,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,6.8,<0>  ,
"lksolnut  ","P",09/09/2021 9:15,0,1,1         ,1         ,"",0.04,<0>  ,0.018,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.014,<0>  ,6.9,<0>  ,
"lksolnut  ","P",09/09/2021 9:17,0,1,1         ,2         ,"",0.05,<0>  ,0.016,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.013,<0>  ,2.6,<0>  ,
"lksolnut  ","P",10/05/2021 10:00,0,1,1         ,1         ,"",0.05,<0>  ,0.028,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.016,<0>  ,7.2,<0>  ,
"lksolnut  ","P",10/05/2021 10:02,0,1,1         ,2         ,"",0.05,<0>  ,0.028,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.013,<0>  ,4.9,<0>  ,
"lksolnut  ","P",11/16/2021 10:30,0,1,1         ,1         ,"",0.04,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.083,<0>  ,4.4,<0>  ,
"lksolnut  ","P",11/16/2021 10:31,0,1,1         ,2         ,"",0.04,<0>  ,0.011,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.082,<0>  ,4.4,<0>  ,

