"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksponut  ","P",02/03/2015 11:50,0,1,1         ,1         ,"",0.025,<1> (CSM) ,0.077,<0>  ,0.08,<0>  ,0.111,<0>  ,0.191,<0>  ,"",
"lksponut  ","P",02/03/2015 11:52,0,1,1         ,2         ,"",0.025,<1> (CSM) ,0.07,<0>  ,0.069,<0>  ,0.121,<0>  ,0.19,<0>  ,"",
"lksponut  ","P",04/28/2015 10:38,0,1,1         ,1         ,"",0.0090,<0>  ,0.033,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.258,<0>  ,"",
"lksponut  ","P",04/28/2015 10:40,0,1,1         ,2         ,"",0.0080,<0>  ,0.038,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.242,<0>  ,"",
"lksponut  ","P",05/26/2015 10:08,0,1,1         ,1         ,"",0.0194,<0>  ,0.022,<1> (CSM) ,0.012,<1> (CSM) ,0.045,<0>  ,0.057,<1> (CSM) ,"",
"lksponut  ","P",05/26/2015 10:10,0,1,1         ,2         ,"",0.0184,<0>  ,0.018,<1> (CSM) ,0.012,<1> (CSM) ,0.038,<0>  ,0.05,<1> (CSM) ,"",
"lksponut  ","P",06/23/2015 9:43,0,1,1         ,1         ,"",0.0375,<0>  ,0.038,<0>  ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.023,<0>  ,"",
"lksponut  ","P",06/23/2015 9:46,0,1,1         ,2         ,"",0.0371,<0>  ,0.034,<0>  ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<0>  ,"",
"lksponut  ","P",07/21/2015 10:26,0,1,1         ,1         ,"",0.031,<0>  ,0.024,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<1> (CSM) ,"",
"lksponut  ","P",07/21/2015 10:27,0,1,1         ,2         ,"",0.0398,<0>  ,0.042,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.0090,<1> (CSM) ,"",
"lksponut  ","P",08/26/2015 9:41,0,1,1         ,1         ,"",0.0278,<0>  ,0.016,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<0>  ,"",
"lksponut  ","P",08/26/2015 9:42,0,1,1         ,2         ,"",0.0263,<0>  ,0.018,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<0>  ,"",
"lksponut  ","P",09/24/2015 9:14,0,1,1         ,1         ,"",0.0194,<0>  ,0.032,<0>  ,0.012,<1> (CSM) ,0.224,<0>  ,0.236,<0>  ,"",
"lksponut  ","P",09/24/2015 9:15,0,1,1         ,2         ,"",0.0214,<0>  ,0.028,<0>  ,0.014,<1> (CSM) ,0.249,<0>  ,0.263,<0>  ,"",
"lksponut  ","P",10/20/2015 9:37,0,1,1         ,1         ,"",0.0426,<0>  ,0.038,<0>  ,0.018,<1> (CSM) ,0.04,<0>  ,0.058,<1> (CSM) ,"",
"lksponut  ","P",10/20/2015 9:38,0,1,1         ,2         ,"",0.0462,<0>  ,0.042,<0>  ,0.018,<1> (CSM) ,0.039,<0>  ,0.057,<1> (CSM) ,"",
"lksponut  ","P",11/17/2015 9:47,0,1,1         ,1         ,"",0.0334,<0>  ,0.039,<0>  ,0.019,<1> (CSM) ,0.132,<0>  ,0.151,<1> (CSM) ,"",
"lksponut  ","P",11/17/2015 9:49,0,1,1         ,2         ,"",0.033,<0>  ,0.036,<0>  ,0.019,<1> (CSM) ,0.138,<0>  ,0.157,<1> (CSM) ,"",

